@timestamp,@log,@logStream,@message
2022-03-24 07:20:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-4446,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3de5573ab5214e279a551628ec15c34a"",""TaskDefinitionFamily"":""kl-research-live-backend"",""TaskDefinitionRevision"":""11"",""ServiceName"":""kl-research-live-backend"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2a"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648076437094,""PullStoppedAt"":1648076509477,""CreatedAt"":1648076410786,""StartedAt"":1648076521080,""Timestamp"":1648106400000,""CpuUtilized"":4.281316782633463,""CpuReserved"":2048.0,""MemoryUtilized"":575,""MemoryReserved"":4096,""StorageReadBytes"":4096,""StorageWriteBytes"":4096,""NetworkRxBytes"":926,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":8235760,""NetworkTxBytes"":1415,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":10187856,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:20:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-9007,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""c7d35ff1ddda4377a3a30ddf41e91c59"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2c"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1647990049458,""PullStoppedAt"":1647990090160,""CreatedAt"":1647990027691,""StartedAt"":1647990099323,""Timestamp"":1648106400000,""CpuUtilized"":2.3730601501464843,""CpuReserved"":4096.0,""MemoryUtilized"":112,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1662,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":72234480,""NetworkTxBytes"":1309,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":158441427,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:20:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-4571,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3d3c2db734194c9386e1527246c787c1"",""TaskDefinitionFamily"":""kl-research-live-sfu-gateway"",""TaskDefinitionRevision"":""32"",""ServiceName"":""kl-research-live-sfu-gateway"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2c"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648104348919,""PullStoppedAt"":1648104368907,""CreatedAt"":1648104326822,""StartedAt"":1648104374162,""Timestamp"":1648106400000,""CpuUtilized"":19.884380696614585,""CpuReserved"":2048.0,""MemoryUtilized"":256,""MemoryReserved"":4096,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":429,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":1661663,""NetworkTxBytes"":731,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":1676503,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:20:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-8550,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""8b7d8ded7c9d4ec8a7268886902a1c9b"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2a"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648103361046,""PullStoppedAt"":1648103391365,""CreatedAt"":1648103340158,""StartedAt"":1648103399927,""Timestamp"":1648106400000,""CpuUtilized"":2.1290012105305984,""CpuReserved"":4096.0,""MemoryUtilized"":80,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1719,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":902271,""NetworkTxBytes"":1359,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":358174,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:20:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-3338,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3afe4ddd503e4a94adbf60ebe5466054"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2b"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648076450423,""PullStoppedAt"":1648076476145,""CreatedAt"":1648076430002,""StartedAt"":1648076482263,""Timestamp"":1648106400000,""CpuUtilized"":1.8030422465006513,""CpuReserved"":4096.0,""MemoryUtilized"":98,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1564,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":37838652,""NetworkTxBytes"":1307,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":81373460,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:19:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-8550,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""8b7d8ded7c9d4ec8a7268886902a1c9b"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2a"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648103361046,""PullStoppedAt"":1648103391365,""CreatedAt"":1648103340158,""StartedAt"":1648103399927,""Timestamp"":1648106340000,""CpuUtilized"":2.102731374104818,""CpuReserved"":4096.0,""MemoryUtilized"":80,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1739,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":901858,""NetworkTxBytes"":1383,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":357739,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:19:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-9007,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""c7d35ff1ddda4377a3a30ddf41e91c59"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2c"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1647990049458,""PullStoppedAt"":1647990090160,""CreatedAt"":1647990027691,""StartedAt"":1647990099323,""Timestamp"":1648106340000,""CpuUtilized"":2.337654774983724,""CpuReserved"":4096.0,""MemoryUtilized"":113,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1662,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":72234084,""NetworkTxBytes"":1304,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":158441001,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:19:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-4446,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3de5573ab5214e279a551628ec15c34a"",""TaskDefinitionFamily"":""kl-research-live-backend"",""TaskDefinitionRevision"":""11"",""ServiceName"":""kl-research-live-backend"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2a"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648076437094,""PullStoppedAt"":1648076509477,""CreatedAt"":1648076410786,""StartedAt"":1648076521080,""Timestamp"":1648106340000,""CpuUtilized"":4.410503896077474,""CpuReserved"":2048.0,""MemoryUtilized"":575,""MemoryReserved"":4096,""StorageReadBytes"":4096,""StorageWriteBytes"":4096,""NetworkRxBytes"":923,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":8235152,""NetworkTxBytes"":1412,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":10187219,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:19:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-1894,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3d3c2db734194c9386e1527246c787c1"",""TaskDefinitionFamily"":""kl-research-live-sfu-gateway"",""TaskDefinitionRevision"":""32"",""ServiceName"":""kl-research-live-sfu-gateway"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2c"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648104348919,""PullStoppedAt"":1648104368907,""CreatedAt"":1648104326822,""StartedAt"":1648104374162,""Timestamp"":1648106340000,""CpuUtilized"":18.889881591796875,""CpuReserved"":2048.0,""MemoryUtilized"":255,""MemoryReserved"":4096,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":408,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":1661350,""NetworkTxBytes"":667,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":1676108,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
2022-03-24 07:19:00.000,089378277808:/aws/ecs/containerinsights/kl-research/performance,FargateTelemetry-3338,"{""Version"":""0"",""Type"":""Task"",""TaskId"":""3afe4ddd503e4a94adbf60ebe5466054"",""TaskDefinitionFamily"":""kl-research-live-sfu"",""TaskDefinitionRevision"":""24"",""ServiceName"":""kl-research-live-sfu"",""ClusterName"":""kl-research"",""AccountID"":""089378277808"",""Region"":""ap-northeast-2"",""AvailabilityZone"":""ap-northeast-2b"",""KnownStatus"":""RUNNING"",""LaunchType"":""FARGATE"",""PullStartedAt"":1648076450423,""PullStoppedAt"":1648076476145,""CreatedAt"":1648076430002,""StartedAt"":1648076482263,""Timestamp"":1648106340000,""CpuUtilized"":1.8501919047037763,""CpuReserved"":4096.0,""MemoryUtilized"":98,""MemoryReserved"":8192,""StorageReadBytes"":0,""StorageWriteBytes"":0,""NetworkRxBytes"":1557,""NetworkRxDropped"":0,""NetworkRxErrors"":0,""NetworkRxPackets"":37838247,""NetworkTxBytes"":1309,""NetworkTxDropped"":0,""NetworkTxErrors"":0,""NetworkTxPackets"":81373031,""EphemeralStorageReserved"":21.47,""CloudWatchMetrics"":[{""Namespace"":""ECS/ContainerInsights"",""Metrics"":[{""Name"":""CpuUtilized"",""Unit"":""None""},{""Name"":""CpuReserved"",""Unit"":""None""},{""Name"":""MemoryUtilized"",""Unit"":""Megabytes""},{""Name"":""MemoryReserved"",""Unit"":""Megabytes""},{""Name"":""StorageReadBytes"",""Unit"":""Bytes/Second""},{""Name"":""StorageWriteBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkRxBytes"",""Unit"":""Bytes/Second""},{""Name"":""NetworkTxBytes"",""Unit"":""Bytes/Second""},{""Name"":""EphemeralStorageReserved"",""Unit"":""Gigabytes""}],""Dimensions"":[[""ClusterName""],[""ServiceName"",""ClusterName""],[""ClusterName"",""TaskDefinitionFamily""]]}]}"
