timestamp,instance,producers,consumers
1648102415420,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648102415644,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648102475443,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648102475656,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648102535461,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648102535667,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648102595479,ip-172-19-232-62.ap-northeast-2.compute.internal,0,0
1648102595678,ip-172-19-218-74.ap-northeast-2.compute.internal,0,0
1648102655486,ip-172-19-232-62.ap-northeast-2.compute.internal,40,0
1648102655679,ip-172-19-218-74.ap-northeast-2.compute.internal,48,0
1648102715488,ip-172-19-232-62.ap-northeast-2.compute.internal,96,0
1648102715679,ip-172-19-218-74.ap-northeast-2.compute.internal,92,0
1648102775492,ip-172-19-232-62.ap-northeast-2.compute.internal,146,176
1648102775679,ip-172-19-218-74.ap-northeast-2.compute.internal,140,230
1648102835494,ip-172-19-232-62.ap-northeast-2.compute.internal,190,404
1648102835682,ip-172-19-218-74.ap-northeast-2.compute.internal,194,472
1648102895497,ip-172-19-232-62.ap-northeast-2.compute.internal,238,646
1648102895685,ip-172-19-218-74.ap-northeast-2.compute.internal,244,714
1648102955501,ip-172-19-232-62.ap-northeast-2.compute.internal,288,884
1648102955688,ip-172-19-218-74.ap-northeast-2.compute.internal,294,954
1648103015507,ip-172-19-232-62.ap-northeast-2.compute.internal,348,1156
1648103015688,ip-172-19-218-74.ap-northeast-2.compute.internal,330,1156
1648103075563,ip-172-19-232-62.ap-northeast-2.compute.internal,396,1388
1648103075691,ip-172-19-218-74.ap-northeast-2.compute.internal,370,1318
1648103135655,ip-172-19-232-62.ap-northeast-2.compute.internal,442,1538
1648103135696,ip-172-19-218-74.ap-northeast-2.compute.internal,412,1526
1648103195968,ip-172-19-232-62.ap-northeast-2.compute.internal,490,1778
1648103195696,ip-172-19-218-74.ap-northeast-2.compute.internal,452,1668
1648103258727,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103255709,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103317853,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103315712,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103378110,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103375713,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103436202,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648103437533,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103435716,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103496211,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648103500154,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103500716,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103556220,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648103557581,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103560717,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103616226,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648103616111,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
1648103620732,ip-172-19-218-74.ap-northeast-2.compute.internal,456,1734
1648103676234,ip-172-19-193-142.ap-northeast-2.compute.internal,0,0
1648103678477,ip-172-19-232-62.ap-northeast-2.compute.internal,498,1872
